地名,センター,燃やせるごみ,燃やせないごみ,プラスチック製容器包装,空き缶・空きびん・ペットボトル
高砂町1・2・3丁目,室蘭市,月 木,金3,金1:4 5 6 7 8 9 10 11 12 2 3 金2:1,土1:4 5 6 7 8 9 10 11 12 2 3 土3:4 5 6 7 8 9 10 11 12 2 3 土2:1 土4:1
高砂町4・5丁目,室蘭市,月 木,金4,金2,土1:4 5 6 7 8 9 10 11 12 2 3 土3:4 5 6 7 8 9 10 11 12 2 3 土2:1 土4:1
水元町,室蘭市,月 木,金2,金4,土1:4 5 6 7 8 9 10 11 12 2 3 土3:4 5 6 7 8 9 10 11 12 2 3 土2:1 土4:1
天神町,室蘭市,月 木,金4,金2,土1:4 5 6 7 8 9 10 11 12 2 3 土3:4 5 6 7 8 9 10 11 12 2 3 土2:1 土4:1
高平町,室蘭市,月 木,水2,水4,木2:4 5 6 7 8 9 10 11 12 2 3 木4:4 5 6 7 8 9 10 11 12 2 3 木3:1 木5:1
本輪西町,室蘭市,火 金,水2,水4,木2:4 5 6 7 8 9 10 11 12 2 3 木4:4 5 6 7 8 9 10 11 12 2 3 木3:1 木5:1
港北町,室蘭市,火 金,水3,水1,木2:4 5 6 7 8 9 10 11 12 2 3 木4:4 5 6 7 8 9 10 11 12 2 3 木3:1 木5:1
柏木町,室蘭市,火 金,水3,水1,木2:4 5 6 7 8 9 10 11 12 2 3 木4:4 5 6 7 8 9 10 11 12 2 3 木3:1 木5:1
幌萌町,室蘭市,火 金,水2,水4,木2:4 5 6 7 8 9 10 11 12 2 3 木4:4 5 6 7 8 9 10 11 12 2 3 木3:1 木5:1
陣屋町,室蘭市,火 金,水2,水4,木2:4 5 6 7 8 9 10 11 12 2 3 木4:4 5 6 7 8 9 10 11 12 2 3 木3:1 木5:1
神代町,室蘭市,火 金,水2,水4,木2:4 5 6 7 8 9 10 11 12 2 3 木4:4 5 6 7 8 9 10 11 12 2 3 木3:1 木5:1
香川町,室蘭市,火 金,水2,水4,木2:4 5 6 7 8 9 10 11 12 2 3 木4:4 5 6 7 8 9 10 11 12 2 3 木3:1 木5:1
白鳥台,室蘭市,火 金,水2,水4,木1:4 5 6 7 8 9 10 11 12 2 3 木3:4 5 6 7 8 9 10 11 12 2 3 木2:1 木4:1
崎守町,室蘭市,火 金,水2,水4,木1:4 5 6 7 8 9 10 11 12 2 3 木3:4 5 6 7 8 9 10 11 12 2 3 木2:1 木4:1
石川町,室蘭市,火 金,水2,水4,木1:4 5 6 7 8 9 10 11 12 2 3 木3:4 5 6 7 8 9 10 11 12 2 3 木2:1 木4:1
石川町の一部（香川町会）,室蘭市,火 金,水2,水4,木2:4 5 6 7 8 9 10 11 12 2 3 木4:4 5 6 7 8 9 10 11 12 2 3 木3:1 木5:1
